"chr"	"start"	"end"	"name"	"gieStain"
"NW_015090831.1"	"5586085"	"5592818"	"LOC106887543"	"gpos100"
"NW_015090831.1"	"6791134"	"6792525"	"GPR39"	"gpos100"
"NW_015090831.1"	"5518262"	"5532970"	"MCM6"	"gpos100"
"NW_015090771.1"	"3867704"	"3904770"	"PPA2"	"gpos100"
"NW_015090831.1"	"5419060"	"5422516"	"CXCR4"	"gpos100"
"NW_015090831.1"	"5711994"	"5765671"	"ZRANB3"	"gpos100"
"NW_015090831.1"	"4528836"	"4569322"	"NXPH2"	"gpos100"
"NW_015090831.1"	"4570562"	"4571190"	"LOC106887550"	"gpos100"
"NW_015090831.1"	"13562"	"17713"	"LOC106887551"	"gpos100"
"NW_015090831.1"	"5545351"	"5565264"	"LCT"	"gpos100"
"NW_015090831.1"	"6812707"	"6816828"	"LOC106887553"	"gpos100"
"NW_015090831.1"	"2926288"	"2991890"	"LOC106887554"	"gpos100"
"NW_015090831.1"	"5812962"	"5824107"	"MAP3K19"	"gpos100"
"NW_015090831.1"	"1603681"	"1606425"	"LOC106887556"	"gpos100"
"NW_015090831.1"	"2896160"	"2904712"	"LOC106887557"	"gpos100"
"NW_015090831.1"	"2906265"	"2914818"	"LOC106887558"	"gpos100"
"NW_015090771.1"	"2091275"	"2119057"	"DNAJB14"	"gpos100"
"NW_015090831.1"	"1644444"	"1645913"	"LOC106887560"	"gpos100"
"NW_015090831.1"	"1972937"	"1975519"	"LOC106887561"	"gpos100"
"NW_015090831.1"	"2061015"	"2096029"	"ZEB2"	"gpos100"
"NW_015090831.1"	"5622966"	"5710923"	"R3HDM1"	"gpos100"
"NW_015090771.1"	"3800569"	"3825180"	"TET2"	"gpos100"
"NW_015090831.1"	"5830189"	"5857280"	"CCNT2"	"gpos100"
"NW_015090831.1"	"472342"	"547848"	"ACVR2A"	"gpos100"
"NW_015090831.1"	"451209"	"471303"	"ORC4"	"gpos100"
"NW_015090831.1"	"6017660"	"6147754"	"MGAT5"	"gpos100"
"NW_015090831.1"	"278951"	"374031"	"MBD5"	"gpos100"
"NW_015090771.1"	"5255281"	"5264927"	"LOC106887570"	"gpos100"
"NW_015090831.1"	"6828695"	"6858960"	"SLC35F5"	"gpos100"
"NW_015090831.1"	"93886"	"187122"	"KIF5C"	"gpos100"
"NW_015090831.1"	"4589078"	"4625809"	"SPOPL"	"gpos100"
"NW_015090831.1"	"6873973"	"6905075"	"ACTR3"	"gpos100"
"NW_015090831.1"	"5468083"	"5513266"	"DARS1"	"gpos100"
"NW_015090771.1"	"4268622"	"4307388"	"AIMP1"	"gpos100"
"NW_015090831.1"	"6672336"	"6691457"	"LYPD1"	"gpos100"
"NW_015090831.1"	"5858275"	"5908207"	"ACMSD"	"gpos100"
"NW_015090831.1"	"5908290"	"6011870"	"TMEM163"	"gpos100"
"NW_015090831.1"	"2167516"	"2380026"	"GTDC1"	"gpos100"
"NW_015090831.1"	"5593077"	"5602570"	"UBXN4"	"gpos100"
"NW_015090831.1"	"5765963"	"5778882"	"LOC106887582"	"gpos100"
"NW_015090831.1"	"5788392"	"5809482"	"LOC106887583"	"gpos100"
"NW_015090831.1"	"195841"	"246067"	"EPC2"	"gpos100"
"NW_015090832.1"	"146622"	"161129"	"KCNS1"	"gpos100"
"NW_015090762.1"	"622704"	"637622"	"SF3A1"	"gpos100"
"NW_015090832.1"	"2005862"	"2048853"	"ARHGAP40"	"gpos100"
"NW_015090832.1"	"1821846"	"1852700"	"DHX35"	"gpos100"
"NW_015090832.1"	"11419"	"13937"	"SYS1"	"gpos100"
"NW_015090832.1"	"4226850"	"4233174"	"PXMP4"	"gpos100"
"NW_015090771.1"	"4309142"	"4314920"	"GIMD1"	"gpos100"
"NW_015090832.1"	"3740387"	"3913041"	"TOX2"	"gpos100"
"NW_015090832.1"	"2106551"	"2110924"	"SLC32A1"	"gpos100"
"NW_015090832.1"	"1886943"	"1958737"	"PPP1R16B"	"gpos100"
"NW_015090832.1"	"4147390"	"4187617"	"NECAB3"	"gpos100"
"NW_015090832.1"	"1988094"	"1998814"	"ACTR5"	"gpos100"
"NW_015090832.1"	"4238867"	"4261523"	"ZNF341"	"gpos100"
"NW_015090832.1"	"3600269"	"3641190"	"LOC106887598"	"gpos100"
"NW_015090832.1"	"1372"	"2304"	"LOC106887599"	"gpos100"
"NW_015090832.1"	"2303"	"7152"	"LOC106887600"	"gpos100"
"NW_015090771.1"	"2053739"	"2080073"	"DAPP1"	"gpos100"
"NW_015090832.1"	"74083"	"83560"	"RBPJL"	"gpos100"
"NW_015090832.1"	"215645"	"222005"	"TOMM34"	"gpos100"
"NW_015090832.1"	"227473"	"238742"	"PABPC1L"	"gpos100"
"NW_015090832.1"	"392525"	"398195"	"LOC106887605"	"gpos100"
"NW_015090832.1"	"506685"	"515644"	"EMILIN3"	"gpos100"
"NW_015090832.1"	"2155583"	"2157442"	"LOC106887607"	"gpos100"
"NW_015090832.1"	"2158635"	"2183503"	"MYBL2"	"gpos100"
"NW_015090832.1"	"3985977"	"4026910"	"SNTA1"	"gpos100"
"NW_015090832.1"	"4362872"	"4381981"	"LOC106887610"	"gpos100"
"NW_015090832.1"	"4383139"	"4386227"	"LOC106887611"	"gpos100"
"NW_015090832.1"	"99934"	"107235"	"MATN4"	"gpos100"
"NW_015090832.1"	"1854029"	"1859914"	"LOC106887613"	"gpos100"
"NW_015090832.1"	"519044"	"531610"	"LPIN3"	"gpos100"
"NW_015090832.1"	"1862298"	"1880811"	"LOC106887615"	"gpos100"
"NW_015090832.1"	"557163"	"582471"	"ZHX3"	"gpos100"
"NW_015090832.1"	"4978107"	"5011198"	"ASIP"	"gpos100"
"NW_015090771.1"	"310305"	"577531"	"UNC5C"	"gpos100"
"NW_015090832.1"	"4194374"	"4198169"	"E2F1"	"gpos100"
"NW_015090832.1"	"4922274"	"4925836"	"LOC106887620"	"gpos100"
"NW_015090832.1"	"424549"	"425499"	"LOC106887621"	"gpos100"
"NW_015090832.1"	"429570"	"430520"	"LOC106887622"	"gpos100"
"NW_015090832.1"	"377664"	"385431"	"GHRH"	"gpos100"
"NW_015090832.1"	"1761444"	"1775853"	"LOC106887624"	"gpos100"
"NW_015090832.1"	"113584"	"114491"	"PI3"	"gpos100"
"NW_015090832.1"	"2000506"	"2004211"	"ADIG"	"gpos100"
"NW_015090832.1"	"2420532"	"2425702"	"LOC106887627"	"gpos100"
"NW_015090832.1"	"2489297"	"2490198"	"LOC106887628"	"gpos100"
"NW_015090832.1"	"3470196"	"3481130"	"EDEM2"	"gpos100"
"NW_015090832.1"	"3423161"	"3470128"	"TRPC4AP"	"gpos100"
"NW_015090832.1"	"3480618"	"3512943"	"LOC106887631"	"gpos100"
"NW_015090832.1"	"3391410"	"3421636"	"MYH7B"	"gpos100"
"NW_015090832.1"	"246768"	"251601"	"YWHAB"	"gpos100"
"NW_015090832.1"	"643610"	"710991"	"TOP1"	"gpos100"
"NW_015090832.1"	"3300945"	"3307905"	"LOC106887635"	"gpos100"
"NW_015090832.1"	"4849453"	"4862268"	"EIF2S2"	"gpos100"
"NW_015090832.1"	"2615370"	"3096610"	"PTPRT"	"gpos100"
"NW_015090771.1"	"5169522"	"5173728"	"RPL34"	"gpos100"
"NW_015090832.1"	"166369"	"215487"	"STK4"	"gpos100"
"NW_015090832.1"	"400113"	"417149"	"RPN2"	"gpos100"
"NW_015090832.1"	"3320745"	"3360657"	"ACSS2"	"gpos100"
"NW_015090832.1"	"588406"	"637252"	"PLCG1"	"gpos100"
"NW_015090771.1"	"5176074"	"5180201"	"LOC106887643"	"gpos100"
"NW_015090832.1"	"313065"	"332318"	"SRC"	"gpos100"
"NW_015090832.1"	"21208"	"40963"	"SDC4"	"gpos100"
"NW_015090832.1"	"4095626"	"4145548"	"CBFA2T2"	"gpos100"
"NW_015090832.1"	"4267315"	"4295765"	"CHMP4B"	"gpos100"
"NW_015090832.1"	"357119"	"366097"	"MANBAL"	"gpos100"
"NW_015090832.1"	"3363909"	"3378226"	"GSS"	"gpos100"
"NW_015090771.1"	"4686352"	"4725302"	"PAPSS1"	"gpos100"
"NW_015090832.1"	"290290"	"296521"	"PIGT"	"gpos100"
"NW_015090832.1"	"287170"	"289318"	"DBNDD2"	"gpos100"
"NW_015090832.1"	"306003"	"306462"	"BLCAP"	"gpos100"
"NW_015090832.1"	"2136706"	"2151345"	"IFT52"	"gpos100"
"NW_015090832.1"	"4737837"	"4836331"	"RALY"	"gpos100"
"NW_015090832.1"	"902536"	"906991"	"MAFB"	"gpos100"
"NW_015090771.1"	"2170895"	"2265088"	"EMCN"	"gpos100"
"NW_015090832.1"	"3266450"	"3294709"	"SOGA1"	"gpos100"
"NW_015090832.1"	"2115068"	"2136260"	"SGK2"	"gpos100"
"NW_015090833.1"	"2025078"	"2034839"	"SLC2A5"	"gpos100"
"NW_015090833.1"	"2016196"	"2024970"	"CA6"	"gpos100"
"NW_015090833.1"	"3659532"	"3670468"	"LOC106887662"	"gpos100"
"NW_015090833.1"	"706345"	"727832"	"TNFRSF18"	"gpos100"
"NW_015090762.1"	"1856246"	"1861200"	"LOC106887664"	"gpos100"
"NW_015090833.1"	"859879"	"877796"	"LOC106887665"	"gpos100"
"NW_015090833.1"	"3460969"	"3478032"	"CUNH1orf167"	"gpos100"
"NW_015090833.1"	"18782"	"24997"	"LOC106887667"	"gpos100"
"NW_015090833.1"	"1337104"	"1344731"	"PERM1"	"gpos100"
"NW_015090833.1"	"10684"	"14820"	"LOC106887669"	"gpos100"
"NW_015090833.1"	"164087"	"174344"	"CCNL2"	"gpos100"
"NW_015090833.1"	"527501"	"538685"	"SCNN1D"	"gpos100"
"NW_015090833.1"	"723821"	"730385"	"LOC106887672"	"gpos100"
"NW_015090833.1"	"735699"	"759874"	"TTLL10"	"gpos100"
"NW_015090833.1"	"1475613"	"1598049"	"SAMD11"	"gpos100"
"NW_015090833.1"	"2349812"	"2352824"	"LOC106887675"	"gpos100"
"NW_015090833.1"	"2680369"	"2750966"	"PEX14"	"gpos100"
"NW_015090833.1"	"3449265"	"3458332"	"AGTRAP"	"gpos100"
"NW_015090771.1"	"2120165"	"2122488"	"LOC106887678"	"gpos100"
"NW_015090833.1"	"3490503"	"3509788"	"CLCN6"	"gpos100"
"NW_015090833.1"	"3563901"	"3571285"	"KIAA2013"	"gpos100"
"NW_015090833.1"	"4037986"	"4094506"	"LOC106887681"	"gpos100"
"NW_015090833.1"	"4330571"	"4332167"	"CTRC"	"gpos100"
"NW_015090833.1"	"3119480"	"3125295"	"SRM"	"gpos100"
"NW_015090833.1"	"199669"	"202450"	"AURKAIP1"	"gpos100"
"NW_015090833.1"	"3436727"	"3442609"	"DRAXIN"	"gpos100"
"NW_015090833.1"	"2668774"	"2673273"	"DFFA"	"gpos100"
"NW_015090771.1"	"3178806"	"3191758"	"BDH2"	"gpos100"
"NW_015090833.1"	"1228036"	"1230065"	"HES4"	"gpos100"
"NW_015090833.1"	"567715"	"591012"	"C1QTNF12"	"gpos100"
"NW_015090833.1"	"185527"	"198431"	"LOC106887690"	"gpos100"
"NW_015090833.1"	"159581"	"163101"	"MRPL20"	"gpos100"
"NW_015090833.1"	"148068"	"152755"	"TMEM88B"	"gpos100"
"NW_015090833.1"	"16188"	"17565"	"LOC106887693"	"gpos100"
"NW_015090833.1"	"2061024"	"2075228"	"LOC106887694"	"gpos100"
"NW_015090833.1"	"898450"	"904573"	"RNF223"	"gpos100"
"NW_015090833.1"	"1360850"	"1388798"	"PLEKHN1"	"gpos100"
"NW_015090833.1"	"3108524"	"3112157"	"CORT"	"gpos100"
"NW_015090833.1"	"175448"	"176789"	"LOC106887698"	"gpos100"
"NW_015090833.1"	"3522544"	"3523646"	"LOC106887699"	"gpos100"
"NW_015090833.1"	"2554315"	"2647149"	"KIF1B"	"gpos100"
"NW_015090772.1"	"685761"	"688274"	"LOC106887701"	"gpos100"
"NW_015090833.1"	"2481028"	"2488248"	"NMNAT1"	"gpos100"
"NW_015090833.1"	"2449931"	"2481538"	"LZIC"	"gpos100"
"NW_015090772.1"	"727234"	"729810"	"CCR4"	"gpos100"
"NW_015090833.1"	"2490803"	"2495708"	"RBP7"	"gpos100"
"NW_015090833.1"	"2432084"	"2461750"	"CTNNBIP1"	"gpos100"
"NW_015090833.1"	"2485389"	"2497747"	"LOC106887707"	"gpos100"
"NW_015090833.1"	"3589500"	"3599456"	"MFN2"	"gpos100"
"NW_015090833.1"	"3611977"	"3645431"	"TNFRSF8"	"gpos100"
"NW_015090833.1"	"3599322"	"3610977"	"MIIP"	"gpos100"
"NW_015090772.1"	"698099"	"713851"	"LOC106887711"	"gpos100"
"NW_015090833.1"	"3861687"	"3866274"	"LOC106887712"	"gpos100"
"NW_015090833.1"	"3871926"	"3876242"	"LOC106887713"	"gpos100"
"NW_015090833.1"	"3841815"	"3847930"	"LOC106887714"	"gpos100"
"NW_015090833.1"	"3853729"	"3859743"	"LOC106887715"	"gpos100"
"NW_015090833.1"	"3825535"	"3836978"	"LOC106887716"	"gpos100"
"NW_015090833.1"	"3867957"	"3870765"	"LOC106887717"	"gpos100"
"NW_015090833.1"	"3792718"	"3917668"	"DHRS3"	"gpos100"
"NW_015090833.1"	"3876521"	"3880045"	"CFAP107"	"gpos100"
"NW_015090833.1"	"3937819"	"3950807"	"PDPN"	"gpos100"
"NW_015090833.1"	"1982561"	"1998551"	"ENO1"	"gpos100"
"NW_015090833.1"	"3970681"	"4030774"	"PRDM2"	"gpos100"
"NW_015090833.1"	"3571077"	"3589410"	"PLOD1"	"gpos100"
"NW_015090833.1"	"3554511"	"3559326"	"LOC106887724"	"gpos100"
"NW_015090833.1"	"3557793"	"3561676"	"LOC106887725"	"gpos100"
"NW_015090833.1"	"3670935"	"3768917"	"VPS13D"	"gpos100"
"NW_015090833.1"	"3769709"	"3773330"	"LOC106887727"	"gpos100"
"NW_015090833.1"	"2251525"	"2274674"	"TMEM201"	"gpos100"
"NW_015090833.1"	"1726183"	"1891185"	"RERE"	"gpos100"
"NW_015090833.1"	"1719528"	"1724362"	"LOC106887730"	"gpos100"
"NW_015090772.1"	"720319"	"732360"	"LOC106887731"	"gpos100"
"NW_015090833.1"	"2370834"	"2417665"	"CLSTN1"	"gpos100"
"NW_015090833.1"	"2498923"	"2549377"	"UBE4B"	"gpos100"
"NW_015090833.1"	"2549532"	"2553957"	"LOC106887734"	"gpos100"
"NW_015090833.1"	"3071828"	"3077125"	"TARDBP"	"gpos100"
"NW_015090833.1"	"3078712"	"3092255"	"MASP2"	"gpos100"
"NW_015090762.1"	"738990"	"898764"	"OSBP2"	"gpos100"
"NW_015090772.1"	"710484"	"714550"	"LOC106887738"	"gpos100"
"NW_015090833.1"	"3185289"	"3191689"	"ANGPTL7"	"gpos100"
"NW_015090833.1"	"3144001"	"3214076"	"MTOR"	"gpos100"
"NW_015090833.1"	"1416474"	"1475342"	"NOC2L"	"gpos100"
"NW_015090833.1"	"352339"	"358395"	"TAS1R3"	"gpos100"
"NW_015090833.1"	"349956"	"371919"	"INTS11"	"gpos100"
"NW_015090772.1"	"11775"	"16494"	"LOC106887744"	"gpos100"
"NW_015090833.1"	"370668"	"378765"	"LOC106887745"	"gpos100"
"NW_015090833.1"	"379606"	"407053"	"PUSL1"	"gpos100"
"NW_015090833.1"	"359588"	"361615"	"CPTP"	"gpos100"
"NW_015090833.1"	"410631"	"525518"	"ACAP3"	"gpos100"
"NW_015090833.1"	"299577"	"344095"	"DVL1"	"gpos100"
"NW_015090833.1"	"656295"	"673196"	"SDF4"	"gpos100"
"NW_015090833.1"	"676299"	"684766"	"TNFRSF4"	"gpos100"
"NW_015090772.1"	"41"	"4207"	"LOC106887752"	"gpos100"
"NW_015090833.1"	"3421489"	"3427078"	"MAD2L2"	"gpos100"
"NW_015090833.1"	"3361648"	"3422180"	"LOC106887754"	"gpos100"
"NW_015090833.1"	"3412549"	"3418105"	"LOC106887755"	"gpos100"
"NW_015090833.1"	"3248040"	"3360206"	"DISP3"	"gpos100"
"NW_015090833.1"	"554235"	"561748"	"UBE2J2"	"gpos100"
"NW_015090772.1"	"800329"	"824676"	"CRTAP"	"gpos100"
"NW_015090833.1"	"229318"	"258249"	"MXRA8"	"gpos100"
"NW_015090833.1"	"261890"	"267905"	"LOC106887760"	"gpos100"
"NW_015090833.1"	"988675"	"1145946"	"AGRN"	"gpos100"
"NW_015090833.1"	"2649762"	"2662808"	"PGD"	"gpos100"
"NW_015090833.1"	"2664216"	"2666898"	"LOC106887763"	"gpos100"
"NW_015090833.1"	"2761531"	"2972962"	"CASZ1"	"gpos100"
"NW_015090833.1"	"2117977"	"2175930"	"SPSB1"	"gpos100"
"NW_015090772.1"	"1209112"	"1212109"	"LOC106887766"	"gpos100"
"NW_015090833.1"	"2304546"	"2354712"	"PIK3CD"	"gpos100"
"NW_015090833.1"	"649830"	"656155"	"B3GALT6"	"gpos100"
"NW_015090833.1"	"4209762"	"4272294"	"LOC106887769"	"gpos100"
"NW_015090833.1"	"4273175"	"4294592"	"TMEM51"	"gpos100"
"NW_015090772.1"	"2272447"	"2352555"	"STAC"	"gpos100"
"NW_015090833.1"	"924"	"9080"	"LOC106887772"	"gpos100"
"NW_015090833.1"	"3214952"	"3220106"	"UBIAD1"	"gpos100"
"NW_015090833.1"	"2039469"	"2052704"	"GPR157"	"gpos100"
"NW_015090833.1"	"765179"	"773805"	"LOC106887775"	"gpos100"
"NW_015090833.1"	"32640"	"51059"	"TMEM240"	"gpos100"
"NW_015090833.1"	"57077"	"82876"	"ATAD3A"	"gpos100"
"NW_015090833.1"	"3127993"	"3143309"	"EXOSC10"	"gpos100"
"NW_015090772.1"	"2427126"	"2437886"	"DCLK3"	"gpos100"
"NW_015090833.1"	"2095246"	"2106060"	"H6PD"	"gpos100"
"NW_015090833.1"	"4296562"	"4324023"	"FHAD1"	"gpos100"
"NW_015090833.1"	"4325467"	"4330813"	"EFHD2"	"gpos100"
"NW_015090833.1"	"906025"	"959232"	"LOC106887783"	"gpos100"
"NW_015090833.1"	"3515348"	"3518434"	"NPPA"	"gpos100"
"NW_015090833.1"	"2222054"	"2240590"	"SLC25A33"	"gpos100"
"NW_015090833.1"	"104833"	"135581"	"VWA1"	"gpos100"
"NW_015090833.1"	"1392898"	"1416063"	"KLHL17"	"gpos100"
"NW_015090833.1"	"3479024"	"3487215"	"MTHFR"	"gpos100"
"NW_015090834.1"	"141130"	"166071"	"KLHL6"	"gpos100"
"NW_015090834.1"	"8013"	"25298"	"MAP6D1"	"gpos100"
"NW_015090772.1"	"832710"	"874269"	"SUSD5"	"gpos100"
"NW_015090834.1"	"172772"	"173830"	"GPR148"	"gpos100"
"NW_015090834.1"	"197549"	"207713"	"AMER3"	"gpos100"
"NW_015090834.1"	"1226960"	"1273513"	"LOC106887794"	"gpos100"
"NW_015090834.1"	"257656"	"488308"	"ARHGEF4"	"gpos100"
"NW_015090834.1"	"496037"	"516938"	"FAM168B"	"gpos100"
"NW_015090834.1"	"38896"	"92512"	"YEATS2"	"gpos100"
"NW_015090834.1"	"26972"	"37374"	"LOC106887798"	"gpos100"
"NW_015090834.1"	"95990"	"121555"	"KLHL24"	"gpos100"
"NW_015090834.1"	"540733"	"560464"	"PLEKHB2"	"gpos100"
"NW_015090835.1"	"10997"	"38239"	"LOC106887801"	"gpos100"
"NW_015090835.1"	"501"	"3179"	"LOC106887802"	"gpos100"
"NW_015090836.1"	"1679545"	"1680492"	"LOC106887803"	"gpos100"
"NW_015090836.1"	"2585228"	"2598628"	"LOC106887804"	"gpos100"
"NW_015090836.1"	"2535329"	"2558287"	"CCDC83"	"gpos100"
"NW_015090836.1"	"11851"	"32719"	"LOC106887806"	"gpos100"
"NW_015090836.1"	"2417012"	"2524943"	"PICALM"	"gpos100"
"NW_015090772.1"	"607106"	"644373"	"LOC106887808"	"gpos100"
"NW_015090836.1"	"2310294"	"2320911"	"HIKESHI"	"gpos100"
"NW_015090836.1"	"2328759"	"2352899"	"EED"	"gpos100"
"NW_015090836.1"	"109785"	"936514"	"TENM4"	"gpos100"
"NW_015090837.1"	"1097112"	"1361997"	"LOC106887812"	"gpos100"
"NW_015090837.1"	"498786"	"502147"	"LOC106887813"	"gpos100"
"NW_015090837.1"	"20370"	"37218"	"LOC106887814"	"gpos100"
"NW_015090837.1"	"313248"	"342726"	"NCAPD3"	"gpos100"
"NW_015090772.1"	"895670"	"973892"	"FBXL2"	"gpos100"
"NW_015090837.1"	"457010"	"498690"	"IGSF9B"	"gpos100"
"NW_015090837.1"	"512264"	"513935"	"LOC106887818"	"gpos100"
"NW_015090837.1"	"1657"	"21413"	"LOC106887819"	"gpos100"
"NW_015090762.1"	"1764122"	"1772663"	"LOC106887820"	"gpos100"
"NW_015090837.1"	"43821"	"46267"	"LOC106887821"	"gpos100"
"NW_015090772.1"	"1702414"	"1706198"	"LOC106887822"	"gpos100"
"NW_015090837.1"	"264362"	"284069"	"GLB1L2"	"gpos100"
"NW_015090837.1"	"201370"	"263834"	"B3GAT1"	"gpos100"
"NW_015090837.1"	"303413"	"313470"	"VPS26B"	"gpos100"
"NW_015090837.1"	"289560"	"297643"	"ACAD8"	"gpos100"
"NW_015090772.1"	"2559700"	"2579415"	"MLH1"	"gpos100"
"NW_015090837.1"	"291283"	"302897"	"THYN1"	"gpos100"
"NW_015090837.1"	"1055515"	"1087578"	"LOC106887829"	"gpos100"
"NW_015090837.1"	"343757"	"352941"	"JAM3"	"gpos100"
"NW_015090838.1"	"151804"	"154427"	"LOC106887831"	"gpos100"
"NW_015090838.1"	"16500"	"21001"	"INPP1"	"gpos100"
"NW_015090838.1"	"28988"	"54111"	"LOC106887833"	"gpos100"
"NW_015090838.1"	"107063"	"118748"	"MCRS1"	"gpos100"
"NW_015090838.1"	"127608"	"151784"	"SPATS2"	"gpos100"
"NW_015090838.1"	"175770"	"202522"	"DCTN2"	"gpos100"
"NW_015090772.1"	"3461264"	"3544023"	"EEPD1"	"gpos100"
"NW_015090838.1"	"160547"	"162495"	"DNAJC22"	"gpos100"
"NW_015090838.1"	"104085"	"106702"	"LOC106887839"	"gpos100"
"NW_015090839.1"	"7677323"	"7680928"	"NFKBIA"	"gpos100"
"NW_015090839.1"	"4941784"	"4986762"	"IFT43"	"gpos100"
"NW_015090839.1"	"5927869"	"5936276"	"FAM161B"	"gpos100"
"NW_015090839.1"	"6550388"	"6575587"	"FOXA1"	"gpos100"
"NW_015090839.1"	"4537516"	"4619892"	"LOC106887844"	"gpos100"
"NW_015090772.1"	"2718082"	"2728005"	"SFRP4"	"gpos100"
"NW_015090839.1"	"5233812"	"5252365"	"JDP2"	"gpos100"
"NW_015090839.1"	"14977611"	"15018783"	"GPR176"	"gpos100"
"NW_015090839.1"	"14974808"	"14977579"	"LOC106887848"	"gpos100"
"NW_015090839.1"	"2437711"	"2492280"	"TSHR"	"gpos100"
"NW_015090839.1"	"4083506"	"4102608"	"ISM2"	"gpos100"
"NW_015090839.1"	"5710235"	"5727651"	"SYNDIG1L"	"gpos100"
"NW_015090772.1"	"2795688"	"2813130"	"GPR141"	"gpos100"
"NW_015090839.1"	"11953671"	"11955577"	"GJD2"	"gpos100"
"NW_015090839.1"	"10556900"	"10560285"	"FOXG1"	"gpos100"
"NW_015090839.1"	"9762054"	"9782937"	"COCH"	"gpos100"
"NW_015090839.1"	"9779425"	"9782397"	"LOC106887856"	"gpos100"
"NW_015090839.1"	"859844"	"878349"	"LOC106887857"	"gpos100"
"NW_015090839.1"	"4117944"	"4130841"	"VIPAS39"	"gpos100"
"NW_015090839.1"	"4141245"	"4143415"	"LOC106887859"	"gpos100"
"NW_015090839.1"	"4144480"	"4147596"	"NOXRED1"	"gpos100"
"NW_015090839.1"	"4186145"	"4210527"	"POMT2"	"gpos100"
"NW_015090839.1"	"4888568"	"4898379"	"LOC106887862"	"gpos100"
"NW_015090839.1"	"5291621"	"5300814"	"FOS"	"gpos100"
"NW_015090839.1"	"5410537"	"5417741"	"PGF"	"gpos100"
"NW_015090839.1"	"5420814"	"5434985"	"RPS6KL1"	"gpos100"
"NW_015090839.1"	"5446749"	"5458486"	"DLST"	"gpos100"
"NW_015090839.1"	"5467379"	"5470962"	"PROX2"	"gpos100"
"NW_015090839.1"	"5535389"	"5541582"	"FCF1"	"gpos100"
"NW_015090839.1"	"5685233"	"5720416"	"LOC106887869"	"gpos100"
"NW_015090772.1"	"667412"	"681388"	"SLC25A38"	"gpos100"
"NW_015090839.1"	"5919022"	"5927754"	"COQ6"	"gpos100"
"NW_015090839.1"	"5984043"	"5998018"	"FBXO33"	"gpos100"
"NW_015090839.1"	"6480764"	"6538164"	"TTC6"	"gpos100"
"NW_015090839.1"	"7122724"	"7124958"	"NKX2-8"	"gpos100"
"NW_015090839.1"	"7979725"	"8011968"	"SNX6"	"gpos100"
"NW_015090839.1"	"9893815"	"9894489"	"LOC106887876"	"gpos100"
"NW_015090839.1"	"14254695"	"14356139"	"AVEN"	"gpos100"
"NW_015090839.1"	"16797894"	"16800013"	"CCDC177"	"gpos100"
"NW_015090839.1"	"17490784"	"17522474"	"TTC9"	"gpos100"
"NW_015090839.1"	"18915009"	"18916843"	"RIOX1"	"gpos100"
"NW_015090839.1"	"5665019"	"5667179"	"NPC2"	"gpos100"
"NW_015090839.1"	"14310313"	"14366981"	"CHRM5"	"gpos100"
"NW_015090839.1"	"14366988"	"14382490"	"LOC106887883"	"gpos100"
"NW_015090839.1"	"14386085"	"14397089"	"EMC7"	"gpos100"
"NW_015090839.1"	"14043827"	"14254628"	"RYR3"	"gpos100"
"NW_015090839.1"	"14398891"	"14409460"	"LOC106887886"	"gpos100"
"NW_015090839.1"	"14397160"	"14408960"	"LOC106887887"	"gpos100"
"NW_015090839.1"	"4176339"	"4185997"	"GSTZ1"	"gpos100"
"NW_015090839.1"	"4835242"	"4842026"	"LOC106887889"	"gpos100"
"NW_015090839.1"	"4225485"	"4232241"	"NGB"	"gpos100"
"NW_015090839.1"	"12114713"	"12308290"	"DPH6"	"gpos100"
"NW_015090839.1"	"5732482"	"5735468"	"VRTN"	"gpos100"
"NW_015090839.1"	"5938806"	"5940732"	"LOC106887893"	"gpos100"
"NW_015090839.1"	"16746508"	"16772923"	"PLEKHD1"	"gpos100"
"NW_015090839.1"	"5365363"	"5371180"	"ZC2HC1C"	"gpos100"
"NW_015090839.1"	"5371499"	"5373110"	"ACYP1"	"gpos100"
"NW_015090839.1"	"16335643"	"16340623"	"LOC106887897"	"gpos100"
"NW_015090839.1"	"5211061"	"5222453"	"BATF"	"gpos100"
"NW_015090839.1"	"7170128"	"7172010"	"NKX2-1"	"gpos100"
"NW_015090839.1"	"2504161"	"2614176"	"CEP128"	"gpos100"
"NW_015090839.1"	"5954870"	"5956228"	"LOC106887901"	"gpos100"
"NW_015090839.1"	"17447808"	"17450165"	"LOC106887902"	"gpos100"
"NW_015090762.1"	"376706"	"407508"	"ASCC2"	"gpos100"
"NW_015090839.1"	"4148151"	"4151901"	"SAMD15"	"gpos100"
"NW_015090839.1"	"14892217"	"14969183"	"FSIP1"	"gpos100"
"NW_015090772.1"	"660698"	"666758"	"RPSA"	"gpos100"
"NW_015090839.1"	"9601071"	"9664442"	"HECTD1"	"gpos100"
"NW_015090839.1"	"9707366"	"9753024"	"STRN3"	"gpos100"
"NW_015090772.1"	"974124"	"1014324"	"UBP1"	"gpos100"
"NW_015090839.1"	"9665679"	"9681984"	"AP4S1"	"gpos100"
"NW_015090839.1"	"6548502"	"6550260"	"LOC106887911"	"gpos100"
"NW_015090839.1"	"11105074"	"11173561"	"LOC106887912"	"gpos100"
"NW_015090839.1"	"11078012"	"11090942"	"LOC106887913"	"gpos100"
"NW_015090839.1"	"11176779"	"11325052"	"NOVA1"	"gpos100"
