GID,KEGG,KEGG_DESCRIPTION
106886939,K01045,PON; arylesterase / paraoxonase [EC:3.1.1.2 3.1.8.1]
106886940,K10326,ASB4; ankyrin repeat and SOCS box protein 4
106886941,K00898,PDK2_3_4; pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]
106886942,K10881,"SHFM1, DSS1, RPN15; 26 proteasome complex subunit DSS1"
106886943,K09314,DLX1_4_6; homeobox protein DLX1/4/6
106886944,K18489,DLX5; homeobox protein DLX5
106886945,,
106886946,,
106886950,,
106886951,K16551,"AKAP9, AKAP350; A-kinase anchor protein 9"
106886952,K17705,KRIT1; Krev interaction trapped protein 1
106886953,K05917,CYP51; sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36]
106886956,K10326,ASB4; ankyrin repeat and SOCS box protein 4
106886957,K17551,PPP1R9; neurabin
106886955,K13421,UMPS; uridine monophosphate synthetase [EC:2.4.2.10 4.1.1.23]
106886958,K03377,CASD1; N-acetylneuraminate 9-O-acetyltransferase [EC:2.3.1.45]
106886959,,
106886961,K06236,COL1A; collagen type I alpha
106886962,K11967,ANKIB1; ankyrin repeat and IBR domain-containing protein 1 [EC:2.3.2.31]
106886960,K09583,PDIA5; protein disulfide-isomerase A5 [EC:5.3.4.1]
106886963,K24824,RBM48; RNA-binding protein 48
106886964,,
106886966,,
106886967,K02091,CDK6; cyclin-dependent kinase 6 [EC:2.7.11.22]
106886965,K01265,map; methionyl aminopeptidase [EC:3.4.11.18]
106886968,K19863,ICA1; islet cell auto antigen 1
106886970,,
106886971,K10740,RPA3; replication factor A3
106886972,K15105,"SLC25A12_13, AGC; solute carrier family 25 (mitochondrial aspartate/glutamate transporter), member 12/13"
106886969,K04492,LEF1; lymphoid enhancer-binding factor 1
106886973,,
106886976,,
106886977,K13338,PEX1; peroxin-1
106886979,K20407,"MIOS, MIO, SEA4; SEA/GATOR complex protein SEA4/MIOS"
106886980,K00731,C1GALT1; glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase [EC:2.4.1.122]
106886978,K11498,CENPE; centromeric protein E
106886982,K10415,"DYNC1I, DNCI; dynein cytoplasmic 1 intermediate chain"
106886983,K23288,VPS50; syndetin
106886984,K01953,"asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]"
106886987,K04576,CALCR; calcitonin receptor
106886988,K23949,"SAMD9, SAMD9L; sterile alpha motif domain-contaning protein 9"
106886985,K20711,ARHGEF38; Rho guanine nucleotide exchange factor 38
106886989,K01507,ppa; inorganic pyrophosphatase [EC:3.6.1.1]
106886991,K24431,OPA3; oncoprotein-induced transcript 3 protein
106886992,,
106886993,K09532,DNAJC12; DnaJ homolog subfamily C member 12
106886995,K02087,"CDK1, CDC2; cyclin-dependent kinase 1 [EC:2.7.11.22 2.7.11.23]"
106886996,K07953,SAR1; GTP-binding protein SAR1 [EC:3.6.5.-]
106886997,K01020,CHST3; chondroitin 6-sulfotransferase 3 [EC:2.8.2.17]
106886998,K15014,"SLC29A1_2_3, ENT1_2_3; solute carrier family 29 (equilibrative nucleoside transporter), member 1/2/3"
106886999,K17297,TSPAN15; tetraspanin-15
106887000,K19914,SYT15; synaptotagmin-15
106887002,,
106887004,K14569,BMS1; ribosome biogenesis protein BMS1
106887005,K14569,BMS1; ribosome biogenesis protein BMS1
106887006,K03991,MBL; mannose-binding lectin
106887007,K05457,NRG3; neuregulin 3
106887008,K05206,GRID1; glutamate receptor delta-1 subunit
106887009,K21246,NRBF2; nuclear receptor-binding factor 2
106887011,K22028,MYPN; myopalladin
106887012,,
106887013,K16911,DDX21; ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]
106887010,K17345,TSPAN5; tetraspanin-5
106887014,,
106887015,K07521,UNC5; netrin receptor unc-5
106887016,K16931,"STAR; steroidogenic acute regulatory protein, mitochondrial"
106887017,K08628,ADAMTS14; a disintegrin and metalloproteinase with thrombospondin motifs 14 [EC:3.4.24.-]
106887018,K18644,EIF4EBP2; eukaryotic translation initiation factor 4E binding protein 2
106887019,K23012,TYSND1; peroxisomal leader peptide-processing protease [EC:3.4.21.-]
106887020,K20858,"MCU; calcium uniporter protein, mitochondrial"
106887022,,
106887023,K00915,"IPMK, IPK2; inositol-polyphosphate multikinase [EC:2.7.1.140 2.7.1.151]"
106887024,K25163,WAPL; wings apart-like protein
106887021,K01265,map; methionyl aminopeptidase [EC:3.4.11.18]
106887025,K19867,PDLIM5_6_7; PDZ and LIM domain protein 5/6/7
106887027,K04673,"BMPR1A, ALK3, CD292; bone morphogenetic protein receptor type-1A [EC:2.7.11.30]"
106887028,K04255,"OPN4, Rh2_7; r-opsin"
106887026,K14463,"MTTP, MTP; microsomal triglyceride transfer protein large subunit"
106887031,,
106887032,,
106887034,K00623,CHAT; choline O-acetyltransferase [EC:2.3.1.6]
106887035,K16501,"CDHR1, PCDH21; cadherin-related family member 1"
106887036,K04240,NPFFR1; neuropeptide FF receptor 1
106887033,K04370,"LAMTOR3, MP1, MAP2K1IP1; ragulator complex protein LAMTOR3"
106887037,,
106887040,K08270,"DDIT4, REDD1; DNA-damage-inducible transcript 4"
106887041,K25687,NDNF; protein NDNF
106887042,K06849,PGSG; proteoglycan peptide core protein
106887044,,
106887045,K14636,"SLC18A3, VACHT; MFS transporter, DHA1 family, solute carrier family 18 (vesicular acetylcholine transporter), member 3"
106887043,K04348,"PPP3C, CNA; serine/threonine-protein phosphatase 2B catalytic subunit [EC:3.1.3.16]"
106887046,K24024,RTKN; rhotekin
106887047,K24491,"LRIT; leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein"
106887048,K14463,"MTTP, MTP; microsomal triglyceride transfer protein large subunit"
106887049,,
106887050,,
106887051,K04254,RGR; retinal G protein coupled receptor
106887053,K04223,TACR2; tachykinin receptor 2
106887052,,
106887059,K25644,CABCOCO1; ciliary-associated calcium-binding coiled-coil protein 1
106887061,K24491,"LRIT; leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein"
106887063,K21408,ADIRF; adipogenesis regulatory factor
106887062,K11498,CENPE; centromeric protein E
106887067,K10380,ANK; ankyrin
106887071,K06689,"UBE2D, UBC4, UBC5; ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]"
106887068,K17544,TBCK; TBC domain-containing protein kinase-like protein
106887073,K23885,CISD1; CDGSH iron-sulfur domain-containing protein 1
106887075,K00844,HK; hexokinase [EC:2.7.1.1]
106887076,K00844,HK; hexokinase [EC:2.7.1.1]
106887078,K12898,HNRNPF_H; heterogeneous nuclear ribonucleoprotein F/H
106887077,K13578,"BMPR1B, ALK6, CDw293; bone morphogenetic protein receptor type-1B [EC:2.7.11.30]"
106887079,K12482,"RUFY1_2, RABIP4; RUN and FYVE domain-containing protein 1/2"
106887080,K10742,DNA2; DNA replication ATP-dependent helicase/nuclease Dna2 [EC:5.6.2.3 3.1.-.-]
106887081,K09289,"NCOA4, PTC3; nuclear receptor coactivator 4"
106887058,,
106887083,K17794,TIM23; mitochondrial import inner membrane translocase subunit TIM23
106887084,,
106887082,K14463,"MTTP, MTP; microsomal triglyceride transfer protein large subunit"
106887085,K05691,CTNNA; catenin alpha
106887086,K00472,P4HA; prolyl 4-hydroxylase [EC:1.14.11.2]
106887087,K01047,"PLA2G, SPLA2; secretory phospholipase A2 [EC:3.1.1.4]"
106887089,K21890,"GHITM, DERP2, TMBIM5; growth hormone-inducible transmembrane protein"
106887090,K12382,"PSAP, SGP1; saposin"
106887092,K12382,"PSAP, SGP1; saposin"
106887091,K02165,DKK1_2_4; dickkopf 1/2/4
106887093,K18466,VPS26A_B; vacuolar protein sorting-associated protein 26A/B
106887094,,
106887095,K17675,"SUPV3L1, SUV3; ATP-dependent RNA helicase SUPV3L1/SUV3 [EC:3.6.4.13]"
106887096,,
106887097,K00261,"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]"
106887099,K03681,"RRP40, EXOSC3; exosome complex component RRP40"
106887100,,
106887102,K25827,CCAR1; cell division cycle and apoptosis regulator protein 1
106887103,K11449,JMJD1C; jumonji domain-containing protein 1C [EC:1.14.11.-]
106887101,K02580,NFKB1; nuclear factor NF-kappa-B p105 subunit
106887104,,
106887105,K22827,"MICU1; calcium uptake protein 1, mitochondrial"
106887107,K16617,COL13A; collagen type XIII alpha
106887108,K13097,TET1; methylcytosine dioxygenase [EC:1.14.11.-]
106887110,,
106887112,K24497,PHYHIP; phytanoyl-CoA hydroxylate-interacting protein
106887113,K09288,"CCDC6, PTC; coiled-coil domain-containing protein 6"
106887111,K01192,"E3.2.1.25, MANBA, manB; beta-mannosidase [EC:3.2.1.25]"
106887114,K07759,PARG; poly(ADP-ribose) glycohydrolase [EC:3.2.1.143]
106887115,K15084,"SLC25A16, GDA, LEU5; solute carrier family 25 (mitochondrial carrier protein), member 16"
106887116,K10615,HERC4; E3 ubiquitin-protein ligase HERC4 [EC:2.3.2.26]
106887117,,
106887118,K10067,SFTPA; pulmonary surfactant-associated protein A
106887119,K10067,SFTPA; pulmonary surfactant-associated protein A
106887122,K11411,"SIRT1, SIR2L1; NAD+-dependent protein deacetylase sirtuin 1 [EC:2.3.1.286]"
106887123,K01634,"SGPL1, DPL1; sphinganine-1-phosphate aldolase [EC:4.1.2.27]"
106887124,K01724,"PCBD, phhB; 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]"
106887125,K23845,KIFBP; KIF-binding protein
106887126,K00789,"metK, MAT; S-adenosylmethionine synthetase [EC:2.5.1.6]"
106887127,K24653,FAM149; primary cilium assembly protein FAM149
106887128,K09529,DNAJC9; DnaJ homolog subfamily C member 9
106887129,K09529,DNAJC9; DnaJ homolog subfamily C member 9
106887130,K06813,"CDH23, USH1D; cadherin 23"
106887131,K23268,"VSIR, VISTA; V-type immunoglobulin domain-containing suppressor of T-cell activation"
106887132,,
106887134,K25857,ARID5; AT-rich interactive domain-containing protein 5
106887136,K25229,"APC16, ANAPC16; anaphase-promoting complex subunit 16"
106887137,K18666,ASCC1; activating signal cointegrator complex subunit 1
106887138,K17338,REEP1_2_3_4; receptor expression-enhancing protein 1/2/3/4
106887139,,
106887141,K16737,"ZNF365, Su48; protein ZNF365"
106887140,K14714,"SLC39A8, ZIP8; solute carrier family 39 (zinc transporter), member 8"
106887143,K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
106887144,K24247,MMRN; multimerin
106887145,K24202,SNCG; gamma-synuclein
106887146,K22745,AIFM2; apoptosis-inducing factor 2
106887148,K11251,H2A; histone H2A
106887149,K17296,TSPAN14; tetraspanin-14
106887150,K00746,CSGALNACT1_2; chondroitin sulfate N-acetylgalactosaminyltransferase 1/2 [EC:2.4.1.174 2.4.1.175]
106887152,K09518,DNAJB12; DnaJ homolog subfamily B member 12
106887153,K22028,MYPN; myopalladin
106887155,K09083,ATOH1_7; atonal protein 1/7
106887156,K22028,MYPN; myopalladin
106887157,K07868,RHOBTB1_2; Rho-related BTB domain-containing protein 1/2
106887154,K06689,"UBE2D, UBC4, UBC5; ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]"
106887158,K05126,RET; proto-oncogene tyrosine-protein kinase Ret [EC:2.7.10.1]
106887159,K18756,"BICC1, BICC; protein bicaudal C"
106887160,K08211,"SLC22A15; MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 15"
106887161,,
106887162,K16911,DDX21; ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]
106887163,K08186,"SLC16A9; MFS transporter, MCT family, solute carrier family 16 (monocarboxylic acid transporters), member 9"
106887164,K16911,DDX21; ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]
106887166,,
106887167,K19912,SYT12; synaptotagmin-12
106887168,K11515,INCENP; inner centromere protein
106887170,K24681,DISP2; protein dispatched 2
106887169,K04224,TACR3; tachykinin receptor 3
106887172,,
106887173,K25394,TMEM80; transmembrane protein 80
106887174,,
106887175,K04147,DRD4; dopamine receptor D4
106887177,K08105,D4ST1; dermatan 4-sulfotransferase 1 [EC:2.8.2.35]
106887178,,
106887181,,
106887182,K04257,OLFR; olfactory receptor
106887183,K04257,OLFR; olfactory receptor
106887184,K04257,OLFR; olfactory receptor
106887185,,
106887186,K19912,SYT12; synaptotagmin-12
106887187,K19912,SYT12; synaptotagmin-12
106887189,K03039,"PSMD13, RPN9; 26S proteasome regulatory subunit N9"
106887190,K25636,ODF3; outer dense fiber protein 3
106887191,,
106887188,K19756,RSPH4_6; radial spoke head protein 4/6
106887192,K08230,"SLC43A3; MFS transporter, LAT3 family, solute carrier family 43, member 3"
106887193,K16661,"RTN4RL2, NGR2; reticulon-4 receptor-like 2"
106887194,K15137,MED19; mediator of RNA polymerase II transcription subunit 19
106887195,,
106887196,K20296,"ANG2, VPS51; vacuolar protein sorting-associated protein 51"
106887197,K04257,OLFR; olfactory receptor
106887199,K06637,"BUB1B, BUBR1, MAD3L; mitotic checkpoint serine/threonine-protein kinase BUB1 beta [EC:2.7.11.1]"
106887200,K14399,"CLP1, HERB; polyribonucleotide 5'-hydroxyl-kinase [EC:2.7.1.78]"
106887201,K23041,DEAF1; deformed epidermal autoregulatory factor 1
106887202,K19503,"ANO9, TMEM16J; anoctamin-9"
106887203,K11515,INCENP; inner centromere protein
106887205,K04314,"PRLHR, GPR10; prolactin releasing hormone receptor"
106887206,K04174,APLNR; apelin receptor
106887207,,
106887204,K23994,"SLC9B1_2; solute carrier family 9B (sodium/hydrogen exchanger), member 1/2"
106887176,K15286,"SLC35E4; solute carrier family 35, member E4"
106887208,K16505,"CDHR5, MUCDHL; cadherin-related family member 5"
106887209,,
106887211,,
106887212,K06566,IFITM; interferon induced transmembrane protein
106887213,K06566,IFITM; interferon induced transmembrane protein
106887214,,
106887215,K04001,"SERPING1, C1INH; C1 inhibitor"
106887216,K24314,LPXN; leupaxin
106887217,K05169,SIGIRR; single Ig IL-1R-related molecule
106887219,K06566,IFITM; interferon induced transmembrane protein
106887220,,
106887221,,
106887222,K05690,"CTNND1; catenin (cadherin-associated protein), delta 1"
106887224,K25112,TMX2; thioredoxin-related transmembrane protein 2
106887225,K25175,ZFP91; E3 ubiquitin-protein ligase ZFP91 [EC:2.3.2.27]
106887226,K05420,CNTF; ciliary neurotrophic factor
106887227,K20865,"NLRP12; NACHT, LRR and PYD domains-containing protein 12"
106887228,,
106887229,,
106887230,K08504,BET1; blocked early in transport 1
106887231,K22078,"PGGHG, ATHL1; protein-glucosylgalactosylhydroxylysine glucosidase [EC:3.2.1.107]"
106887234,,
106887235,K00573,"E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]"
106887236,K00616,"E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]"
106887237,K00616,"E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]"
106887239,K11413,"SIRT3, SIR2L3; NAD+-dependent protein deacetylase sirtuin 3 [EC:2.3.1.286]"
106887240,,
106887241,K06058,DTX; deltex [EC:2.3.2.27]
106887242,K23293,"RMDN3, PTPIP51; regulator of microtubule dynamics protein 3"
106887243,,
106887244,K09537,DNAJC17; DnaJ homolog subfamily C member 17
106887246,,
106887247,K08730,PTDSS2; phosphatidylserine synthase 2 [EC:2.7.8.29]
106887249,K17778,TIM10; mitochondrial import inner membrane translocase subunit TIM10
106887250,K20030,ZDHHC5_8; palmitoyltransferase ZDHHC5/8 [EC:2.3.1.225]
106887251,K11542,"CASC5, KNL1; protein CASC5"
106887253,K04482,RAD51; DNA repair protein RAD51
106887254,K09657,"B4GALNT4; beta-1,4-N-acetylgalactosaminyltransferase 4 [EC:2.4.1.244]"
106887252,K04714,SGMS; shingomyelin synthase [EC:2.7.8.27]
106887255,K19036,IGHMBP2; ATP-dependent RNA/DNA helicase IGHMBP2 [EC:3.6.4.13 5.6.2.3]
106887256,,
106887257,K00253,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]"
106887258,,
106887259,K02888,"RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
106887261,K17277,EPS8; epidermal growth factor receptor kinase substrate 8
106887262,,
106887263,K09272,"SSRP1, POB3; FACT complex subunit SSRP1/POB3"
106887265,K05858,"PLCB; phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]"
106887266,K05735,PAK6; p21-activated kinase 6 [EC:2.7.11.1]
106887268,K13517,MBOAT1_2; lysophospholipid acyltransferase 1/2 [EC:2.3.1.51 2.3.1.-]
106887267,K07422,CYP2U1; long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]
106887269,K10205,ELOVL2; elongation of very long chain fatty acids protein 2 [EC:2.3.1.199]
106887270,,
106887271,K05285,PIGN; GPI ethanolamine phosphate transferase 1 [EC:2.7.-.-]
106887272,K10408,DNAH; dynein axonemal heavy chain
106887273,K06620,E2F3; transcription factor E2F3
106887275,K07478,ycaJ; putative ATPase
106887276,K02861,"RIPK1, RIP1; receptor-interacting serine/threonine-protein kinase 1 [EC:2.7.11.1]"
106887274,K00022,HADH; 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
106887277,K13156,SNRNP48; U11/U12 small nuclear ribonucleoprotein 48 kDa protein
106887278,K25457,ROPN1L; ropporin-1-like protein
106887279,K15151,"MED10, NUT2; mediator of RNA polymerase II transcription subunit 10"
106887283,K24403,"KIAA0319, AAVR; dyslexia-associated protein KIAA0319"
106887285,K23616,ATXN1_1L; ataxin 1/1L
106887286,K10273,FBXL7; F-box and leucine-rich repeat protein 7
106887287,,
106887289,,
106887290,,
106887291,K00757,"udp, UPP; uridine phosphorylase [EC:2.4.2.3]"
106887264,K24319,SCARF2; scavenger receptor class F member 2
106887292,K05147,"TNFRSF11A, RANK, CD265; tumor necrosis factor receptor superfamily member 11A"
106887294,,
106887296,K11983,RNF182; E3 ubiquitin-protein ligase RNF182 [EC:2.3.2.27]
106887297,,
106887298,,
106887305,K05647,"ABCA13; ATP binding cassette, subfamily A (ABC1), member 13"
106887306,K12343,SRD5A1; 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [EC:1.3.1.22]
106887307,,
106887308,K23491,CTNND2; catenin delta-2
106887309,K10659,MARCH4_9_11; E3 ubiquitin-protein ligase MARCH4/9/11 [EC:2.3.2.27]
106887312,K09396,FOXC; forkhead box protein C
106887313,K09399,FOXF; forkhead box protein F
106887314,K11878,"PSMG4, PAC4; proteasome assembly chaperone 4"
106887315,K08215,"SLC22A23; MFS transporter, OCT family, solute carrier family 22 (organic anion transporter), member 23"
106887316,K08827,PRPF4B; serine/threonine-protein kinase PRP4 [EC:2.7.11.1]
106887318,K00653,CDY; chromodomain protein Y [EC:2.3.1.48]
106887319,,
106887320,,
106887317,K13149,INTS12; integrator complex subunit 12
106887321,,
106887322,K09176,TFAP2A_B; transcription factor AP-2 alpha/beta
106887323,,
106887324,,
106887326,,
106887327,K22137,MCUR1; mitochondrial calcium uniporter regulator 1
106887328,K23334,"RANBP9_10, RANBPM; Ran-binding protein 9/10"
106887329,K11415,"SIRT5, SIR2L5; NAD+-dependent protein deacetylase sirtuin 5 [EC:2.3.1.286]"
106887330,K17914,KIF13; kinesin family member 13
106887331,K17046,DEK; protein DEK
106887332,K17695,ID4; DNA-binding protein inhibitor ID4
106887333,K23581,SOX4; transcription factor SOX4 (SOX group C)
106887334,K23405,DCDC2; doublecortin domain-containing protein 2
106887335,K00139,ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
106887336,K19871,SALL; sal-like protein
106887337,,
106887338,K08135,COL15A; collagen type XV alpha
106887339,K05439,PRL; prolactin
106887340,,
106887341,,
106887343,K16366,EDN1; endothelin-1
106887344,K22766,FIGNL1; fidgetin-like protein 1 [EC:5.6.2.-]
106887345,,
106887346,K24521,VWC2; brorin
106887348,K00569,"TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]"
106887349,K01061,E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
106887350,,
106887347,,
106887352,K09445,IRF4; interferon regulatory factor 4
106887353,K04202,MC4R; melanocortin 4 receptor
106887354,K15705,RNF152; E3 ubiquitin-protein ligase RNF152 [EC:2.3.2.27]
106887356,K06510,CD83; CD83 antigen
106887358,K01061,E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
106887360,,
106887363,K01061,E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]
106887364,K18630,TEKT3; tektin-3
106887365,,
106887362,K06824,NPNT; nephronectin
106887366,K25752,ZPBP; zona pellucida-binding protein
106887367,K00907,MYLK; myosin-light-chain kinase [EC:2.7.11.18]
106887368,,
106887369,K08858,SBK; serine/threonine-protein kinase SBK [EC:2.7.11.1]
106887373,K21598,GCM; chorion-specific transcription factor GCM
106887375,,
106887380,K07375,TUBB; tubulin beta
106887381,K18399,BPHL; valacyclovir hydrolase [EC:3.1.-.-]
106887382,K07375,TUBB; tubulin beta
106887383,K20210,RREB1; ras-responsive element-binding protein 1
106887384,K13249,SSR1; translocon-associated protein subunit alpha
106887385,K14830,"MAK11, PAK1IP1; protein MAK11"
106887386,,
106887387,,
106887388,K11478,"JARID2, JMJ; protein Jumonji"
106887389,K20189,"DTNBP1, BLOC1S8; dysbindin"
106887390,K16075,"MRS2, MFM1; magnesium transporter"
106887391,,
106887393,K01127,GPLD1; glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]
106887394,K13984,"TXNDC5, ERP46; thioredoxin domain-containing protein 5"
106887395,K20187,BLOC1S5; biogenesis of lysosome-related organelles complex 1 subunit 5
106887396,K16620,BMP6; bone morphogenetic protein 6
106887397,,
106887398,K14530,RPP40; ribonucleases P/MRP protein subunit RPP40 [EC:3.1.26.5]
106887399,K08810,TRIO; triple functional domain protein [EC:2.7.11.1]
106887401,K04674,"TGFBR1, ALK5; TGF-beta receptor type-1 [EC:2.7.11.30]"
106887404,K14296,NUP153; nuclear pore complex protein Nup153
106887405,K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
106887406,,
106887407,,
106887408,K10381,DSP; desmoplakin
106887409,K17594,PHACTR; phosphatase and actin regulator
106887410,K20396,TBC1D7; TBC1 domain family member 7
106887411,K03685,"rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]"
106887413,,
106887412,K13951,ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]
106887414,K01889,"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]"
106887415,K22069,LYRM4; LYR motif-containing protein 4
106887416,K10602,NHLRC1; E3 ubiquitin-protein ligase NHLRC1 [EC:2.3.2.27]
106887420,K09497,CCT5; T-complex protein 1 subunit epsilon
106887421,,
106887417,K13951,ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]
106887422,K03917,F13A1; coagulation factor XIII A1 polypeptide [EC:2.3.2.13]
106887423,,
106887424,K19413,"KDM1B, AOF1, LSD2; lysine-specific histone demethylase 1B [EC:1.-.-.-]"
106887425,K17046,DEK; protein DEK
106887427,K00569,"TPMT, tpmT; thiopurine S-methyltransferase [EC:2.1.1.67]"
106887428,K00597,MTRR; methionine synthase reductase [EC:1.16.1.8]
106887429,,
106887430,,
106887431,K04901,"KCNG2, KV6.2; potassium voltage-gated channel subfamily G member 2"
106887433,K23679,"PQLC1, SLC66A2; solute carrier family 66, member 2"
106887432,K23994,"SLC9B1_2; solute carrier family 9B (sodium/hydrogen exchanger), member 1/2"
106887434,K19765,HSBP1; heat shock factor-binding protein 1
106887435,K00364,"guaC, GMPR; GMP reductase [EC:1.7.1.7]"
106887436,K22734,"ANKH, SLC62A1; progressive ankylosis protein"
106887437,K25006,RBM24_38; RNA-binding protein 24/38
106887438,,
106887439,K06798,"CDH6; cadherin 6, type 2, K-cadherin"
106887440,K09239,HIVEP; human immunodeficiency virus type I enhancer-binding protein
106887443,K23425,SERPINB1; leukocyte elastase inhibitor
106887442,K23882,CISD2; CDGSH iron-sulfur domain-containing protein 2
106887445,K13963,SERPINB; serpin B
106887446,K13963,SERPINB; serpin B
106887447,K22700,ZCCHC2; Zinc finger CCHC domain-containing protein 2
106887449,K23880,RETREG; reticulophagy regulator
106887450,K10661,"MARCH6, DOA10; E3 ubiquitin-protein ligase MARCH6 [EC:2.3.2.27]"
106887451,,
106887452,K14165,K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
106887458,K08829,MAK; male germ cell-associated kinase [EC:2.7.11.22]
106887459,K00742,"GCNT2; N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase [EC:2.4.1.150]"
106887461,,
106887462,K15277,"SLC35B3, PAPST2; solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3"
106887460,K03259,EIF4E; translation initiation factor 4E
106887463,,
106887464,K20064,GRB10; growth factor receptor-bound protein 10
106887465,K06841,SEMA5; semaphorin 5
106887466,K06801,"CDH9; cadherin 9, type 2, T1-cadherin"
106887467,K17461,"RECK, ST15; reversion-inducing-cysteine-rich protein with kazal motifs"
106887470,,
106887471,K13966,SERPINB11_12; serpin B11/12
106887472,K13963,SERPINB; serpin B
106887444,K13866,"SLC7A4; solute carrier family 7 (cationic amino acid transporter), member 4"
106887469,K13951,ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1]
106887473,K10139,SERPINB5; serpin B5
106887474,K13963,SERPINB; serpin B
106887475,K21099,MARVELD3; MARVEL domain-containing protein 3
106887476,K02161,BCL2; apoptosis regulator Bcl-2
106887477,K10637,"MYLIP, MIR; E3 ubiquitin-protein ligase MYLIP [EC:2.3.2.27]"
106887478,K16340,PHLPP; PH domain and leucine-rich repeat-containing protein phosphatase [EC:3.1.3.16]
106887479,K13239,"ECI2, PECI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]"
106887480,K03514,"PAPD5_7, TRF4; non-canonical poly(A) RNA polymerase PAPD5/7 [EC:2.7.7.19]"
106887482,K08071,NQO2; ribosyldihydronicotinamide dehydrogenase (quinone) [EC:1.10.5.1]
106887481,K15445,"TRMT10, TRM10, RG9MTD; tRNA (guanine9-N1)-methyltransferase [EC:2.1.1.221]"
106887483,K06802,"CDH10; cadherin 10, type 2, T2-cadherin"
106887484,K04708,KDSR; 3-dehydrosphinganine reductase [EC:1.1.1.102]
106887485,K06805,"CDH18; cadherin 18, type 2"
106887486,K15439,"EEF1E1, AIMP3; eukaryotic translation elongation factor 1 epsilon-1"
106887487,K08042,ADCY2; adenylate cyclase 2 [EC:4.6.1.1]
106887488,,
106887489,K15732,"CTDP1, FCP1; RNA polymerase II subunit A C-terminal domain phosphatase [EC:3.1.3.16]"
106887490,K12559,MYO10; myosin X
106887491,K10582,UBE2Q; ubiquitin-conjugating enzyme E2 Q [EC:2.3.2.23]
106887492,K12196,VPS4; vacuolar protein-sorting-associated protein 4
106887493,K01530,E7.6.2.1; phospholipid-translocating ATPase [EC:7.6.2.1]
106887494,K16832,"NEDD9, HEF1, CASL; enhancer of filamentation 1"
106887495,K17272,BASP1; brain acid soluble protein 1
106887496,,
106887497,K06807,"CDH20; cadherin 20, type 2"
106887498,,
106887499,K24878,ADNP2; activity-dependent neuroprotector homeobox protein 2
106887500,K18343,OTULIN; ubiquitin thioesterase otulin [EC:3.4.19.12]
106887502,K01711,"gmd, GMDS; GDPmannose 4,6-dehydratase [EC:4.2.1.47]"
106887501,,
106887504,K04446,"NFATC1, NFAT2, NFATC; nuclear factor of activated T-cells, cytoplasmic 1"
106887506,K17261,"CAP1_2, SRV2; adenylyl cyclase-associated protein"
106887507,K15335,"NSUN2, TRM4; tRNA (cytosine34-C5)-methyltransferase [EC:2.1.1.203]"
